ID,Place (x),Knowledge (y),Action (z),Country
5128,-0.25,0.3125,0.8125,USA
5131,0,-0.125,0,France
5132,0.1875,0.125,-0.125,France
5133,0,0.125,0.1875,France
5144,-0.4375,-0.3125,0.8125,USA
5145,-0.3125,-0.375,0.75,USA
5146,-0.5,0.125,0.75,USA
5147,0,0.0625,0,France
5148,-0.0625,-0.1875,0.5625,France
5149,-0.1875,0.1875,0,France
5150,0,0.1875,-0.0625,France
5151,-0.1875,-0.1875,-0.5625,France
5152,0.125,0.1875,-0.0625,France
5153,0.0625,0.0625,0.1875,France
5154,-0.125,0,0.125,France
5155,0,0.0625,0.3125,France
5160,0.375,-0.3125,-0.4375,France
5162,-0.0625,0.125,-0.25,France
5163,-0.125,-0.25,-0.0625,France
5164,0.1875,0.25,0.5,France
5165,-0.6875,-0.0625,-0.125,France
5166,0,0.4375,0.25,India
5181,-0.5,-0.375,0.75,USA
5184,-0.3125,-0.4375,0.5625,USA
5185,0.1875,-0.375,0.8125,USA
5187,-0.3125,-0.5,0.875,USA
5189,-0.0625,-0.0625,0.5625,USA
5191,-0.125,-0.5,0.1875,USA
5193,-0.1875,0,0.75,USA
5194,-0.875,-0.25,0.375,USA
5195,-0.75,0,0.3125,USA
5196,-0.375,0,0.375,USA
5197,-0.4375,0.125,0.3125,USA
5198,-0.625,-0.125,0.6875,USA
5199,-0.1875,-0.0625,0.1875,USA
5200,0.0625,0,0,USA
5201,0.0625,0.625,0.25,USA
5203,0.3125,0,0.8125,USA
5204,0.1875,-0.375,0.8125,USA
5205,-0.6875,-0.8125,0,USA
5206,-0.375,-0.25,0.25,USA
5207,-0.375,0.3125,0.4375,India
5212,-0.3125,-0.25,-0.125,France
5213,-0.875,-1,-0.5625,India
5214,-0.125,-0.375,-0.1875,India
5219,-0.0625,0,-0.4375,India
5221,-0.5,0.1875,0.25,India
5224,-0.5625,-0.1875,-0.3125,India
5227,-0.0625,-0.0625,0.1875,USA
5228,0.0625,-0.0625,-0.1875,India
5229,0.25,-0.25,-0.25,India
5233,0,-0.3125,-0.3125,India
5234,-0.3125,0,0.375,India
5237,-0.1875,0.1875,0,India
5238,0,0.125,-0.5625,India
5240,-0.6875,-0.1875,0.5625,USA
5242,-0.5,-0.375,-0.25,India
5243,-0.5,-0.125,-0.3125,India
5246,-0.4375,-0.125,-0.375,India
5247,-0.5625,-0.0625,0,India
5248,-0.375,-0.3125,-0.75,India
5250,-0.4375,-0.3125,0.1875,India
5251,-0.0625,0.3125,-0.25,India
5254,-0.3125,-0.25,-0.375,India
5256,-0.1875,0.1875,-0.375,France
5257,-0.1875,0.125,-0.0625,India
5262,-0.25,-0.375,0.5625,France
5263,-0.875,-0.625,0.625,India
5264,-0.25,-0.0625,-0.3125,India
5265,0.125,0.0625,-0.0625,India
5266,-0.125,0.125,0.1875,India
5269,-0.3125,-0.25,-0.125,India
5271,-0.125,-0.125,-0.125,France
5275,-0.125,0.125,0,France
5277,-0.125,0.25,-0.375,India
5279,-0.25,-0.25,-0.4375,India
5280,-0.1875,0.5,-0.25,India
5286,-0.1875,0,0.375,France
5292,0.25,-0.125,0.125,France
5295,-0.6875,-0.5625,-0.5,India
5299,-0.1875,0.0625,-0.4375,India
5304,-0.1875,-0.5,-0.0625,India
5308,-0.4375,-0.125,-0.0625,India
5309,-0.5,-0.3125,-0.3125,India
5312,-0.5625,-0.125,-0.3125,India
5315,0,0.1875,-0.125,France
5319,-0.25,0,-0.125,France
5320,0.1875,-0.0625,-0.125,France
5322,-0.25,0.125,-0.1875,France
5323,-0.4375,0.4375,-0.0625,India
5325,0.1875,0.125,0.0625,France
5329,0,0.3125,0.25,France
5330,0.4375,-0.0625,-0.125,France
5331,-0.25,0.25,0,India
5339,-0.5,0.4375,-0.1875,India
5340,0.125,-0.1875,0.0625,France
5343,0.3125,0.875,-0.125,France
5344,-0.5625,0.4375,-0.3125,India
5345,-0.5,0.875,0.875,India
5349,-0.4375,0,-0.375,India
5351,0,-0.5625,-0.25,India
5355,0.0625,0.125,0.0625,France
5356,-0.0625,-0.0625,0.1875,France
5357,-0.4375,0,-0.4375,India
5359,-1,-0.4375,-0.5,India
5360,-0.3125,0.0625,-0.25,India
5362,-0.6875,-0.1875,-0.375,France
5367,0.0625,-0.0625,0.125,India
5372,-0.8125,-0.3125,-0.375,India
5373,-0.8125,-0.375,-0.5625,India
5374,-0.75,-0.25,-0.4375,India
5377,-0.3125,-0.3125,-0.25,India
5380,0.5,1,0.4375,France
5381,-0.25,-0.3125,0.0625,France
5382,-0.3125,0.375,0.1875,France
5385,0.1875,0.5,0.25,France
5386,0,0,-0.25,France
5389,0.0625,0.25,-0.125,France
5395,0.125,-0.3125,0.125,France
5403,-0.0625,-0.0625,0.1875,France
5406,-0.0625,0.8125,0.375,France
5409,-0.3125,0.375,0.375,France
5410,-0.125,-0.0625,-0.0625,France
5411,0.0625,0.1875,-0.0625,France
5412,-0.3125,0.6875,0.625,France
5414,-0.1875,-0.3125,-0.25,France
5418,-0.625,0.1875,0,France
5420,-0.25,0.125,-0.25,France
5421,-0.1875,-0.375,-0.125,France
5434,-0.125,0.3125,0,France
5438,0.0625,-0.0625,-0.1875,France
5442,-0.125,0,0,France
5443,-0.125,0.3125,-0.1875,France
5444,-0.125,0.3125,0.25,France
5445,-0.125,-0.0625,-0.0625,France
5449,-0.625,-0.125,0.25,France
5450,-0.1875,0.9375,0,France
5451,-0.0625,0.3125,-0.1875,France
5453,-0.0625,0.125,0.25,France
5454,-0.0625,-0.0625,0.0625,France
5458,0.25,0.25,0.1875,India
5459,-0.5,-0.125,-0.375,India
5464,-0.1875,-0.0625,-0.0625,France
5465,-0.0625,0.1875,-0.125,France
5468,-0.3125,0.3125,-0.1875,France
5469,-0.5625,0.0625,-0.3125,France
5470,0.5,0.8125,0.25,India
5473,-0.1875,0.25,0,India
5476,-0.5625,0.375,0.4375,India
5478,-0.375,0,0.3125,France
5479,0.0625,-0.25,0,France
5480,-0.1875,-0.0625,-0.1875,France
5489,0,-0.0625,-0.0625,USA
5492,-0.125,-0.1875,-0.125,France
5507,-0.5625,0.0625,0.3125,USA
